id,delivery_file,master_file,cefr,topic,subtype,roles,line_count,target_seconds,record_status
listening_c1_0034,listening_c1_0034.m4a,listening_c1_0034.wav,C1,medias,argumentation,narrator|f2,4,37,awaiting_recording
listening_c1_0035,listening_c1_0035.m4a,listening_c1_0035.wav,C1,environnement,argumentation,narrator|f1,2,38,awaiting_recording
listening_c1_0036,listening_c1_0036.m4a,listening_c1_0036.wav,C1,medias,argumentation,m1|f2,2,37,awaiting_recording
listening_c1_0037,listening_c1_0037.m4a,listening_c1_0037.wav,C1,logement,argumentation,m2|f1,2,29,awaiting_recording
listening_c1_0038,listening_c1_0038.m4a,listening_c1_0038.wav,C1,sante,argumentation,narrator|f2,2,37,awaiting_recording
listening_c1_0039,listening_c1_0039.m4a,listening_c1_0039.wav,C1,etudes,argumentation,elder_m,1,32,awaiting_recording
listening_c1_0040,listening_c1_0040.m4a,listening_c1_0040.wav,C1,immigration,argumentation,m1|f1,2,34,awaiting_recording
listening_c2_0011,listening_c2_0011.m4a,listening_c2_0011.wav,C2,environnement,argumentation,narrator|f1|m1,4,49,awaiting_recording
listening_c2_0012,listening_c2_0012.m4a,listening_c2_0012.wav,C2,technologie,argumentation,narrator|f2|m2,4,56,awaiting_recording
listening_c2_0013,listening_c2_0013.m4a,listening_c2_0013.wav,C2,societe,argumentation,f1|m1,4,49,awaiting_recording
listening_c2_0014,listening_c2_0014.m4a,listening_c2_0014.wav,C2,medias,argumentation,narrator|m2|f2,4,50,awaiting_recording
listening_c2_0015,listening_c2_0015.m4a,listening_c2_0015.wav,C2,sante,argumentation,narrator|m1|f2,5,57,awaiting_recording
listening_c2_0016,listening_c2_0016.m4a,listening_c2_0016.wav,C2,logement,argumentation,narrator|f1|m2,5,59,awaiting_recording
listening_c2_0017,listening_c2_0017.m4a,listening_c2_0017.wav,C2,environnement,argumentation,narrator|f1|m1,4,48,awaiting_recording
listening_c2_0018,listening_c2_0018.m4a,listening_c2_0018.wav,C2,travail,argumentation,narrator|f2|m2,5,57,awaiting_recording
listening_c2_0019,listening_c2_0019.m4a,listening_c2_0019.wav,C2,immigration,argumentation,narrator|f1|m1,4,48,awaiting_recording
listening_c2_0020,listening_c2_0020.m4a,listening_c2_0020.wav,C2,technologie,argumentation,narrator|m2|f2,4,51,awaiting_recording
listening_c2_0021,listening_c2_0021.m4a,listening_c2_0021.wav,C2,sante,argumentation,m1|f1,4,47,awaiting_recording
listening_c2_0022,listening_c2_0022.m4a,listening_c2_0022.wav,C2,culture,argumentation,narrator|m2|f2,5,55,awaiting_recording
listening_c2_0023,listening_c2_0023.m4a,listening_c2_0023.wav,C2,environnement,argumentation,narrator|f1|m1,4,45,awaiting_recording
listening_c2_0024,listening_c2_0024.m4a,listening_c2_0024.wav,C2,technologie,argumentation,narrator|f2|m2,4,44,awaiting_recording
listening_c2_0025,listening_c2_0025.m4a,listening_c2_0025.wav,C2,societe,argumentation,m1|elder_f,4,43,awaiting_recording
listening_c2_0026,listening_c2_0026.m4a,listening_c2_0026.wav,C2,culture,argumentation,narrator|f1|m2,4,47,awaiting_recording
